,Name,Team,Pos,Age,Games Played,Games Started,Pro Bowl,All Pro,Completions,Passing Attempts,Passing Yards,Passing TD,Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing TD,Targets,Receptions,Receiving Yards,Y/R,Receiving TD,Fumbles,Fumbles Lost,Total TD,2PM,2PP,Fantasy Points,PPR,DraftKings Points,FanDuel Points,VBD,Position Rank,Overall Rank
0,Aaron Rodgers ,GNB,QB,28,15,15,1,1,343,502,4643,45,6,60,257,4.28,3,0,0,0,0,0,5,0,3,0,0,399,397.4,409.4,403.4,171,1,1
1,Drew Brees,NOR,QB,32,16,16,1,0,468,657,5476,46,14,21,86,4.10,1,0,0,0,0,0,1,1,1,0,3,396,393.6,411.6,407.6,167,2,2
2,Ray Rice,BAL,RB,24,16,16,1,0,1,1,1,1,0,291,1364,4.69,12,104,76,704,9.26,3,2,2,15,0,0,301,372.8,380.8,334.8,152,1,3
3,Calvin Johnson ,DET,WR,26,16,16,1,1,0,0,0,0,0,1,11,11.00,0,158,96,1681,17.51,16,1,1,16,0,0,267,359.2,363.2,311.2,151,1,4
4,Cam Newton,CAR,QB,22,16,16,1,0,310,517,4051,21,17,126,706,5.60,14,1,1,27,27.00,0,5,2,14,0,2,375,370.3,395.3,386.8,147,3,5
5,Rob Gronkowski,NWE,TE,22,16,16,1,1,0,0,0,0,0,1,2,2.00,1,124,90,1327,14.74,17,0,0,18,0,0,241,330.9,333.9,285.9,143,1,6
6,Tom Brady ,NWE,QB,34,16,16,1,0,401,611,5235,39,12,43,109,2.53,3,0,0,0,0,0,6,2,3,0,0,370,366.3,386.3,378.3,142,4,7
7,LeSean McCoy,PHI,RB,23,15,15,1,1,0,0,0,0,0,273,1309,4.79,17,69,48,315,6.56,3,1,1,20,0,0,282,328.4,335.4,304.4,134,2,8
8,Matthew Stafford,DET,QB,23,16,16,0,0,421,663,5038,41,16,22,78,3.55,0,0,0,0,0,0,5,1,0,0,2,347,343.3,363.3,359.3,119,5,9
9,Maurice Jones-Drew,JAX,RB,26,16,16,1,1,0,0,0,0,0,343,1606,4.68,8,64,43,374,8.70,3,6,1,11,0,0,264,305.0,312.0,283.5,115,3,10
10,Arian Foster ,HOU,RB,25,13,13,1,0,0,0,0,0,0,278,1224,4.40,10,72,53,617,11.64,2,6,2,12,0,0,256,305.1,313.1,278.6,108,4,11
11,Jordy Nelson,GNB,WR,26,16,9,0,0,0,0,0,0,0,0,0,0,0,96,68,1263,18.57,15,0,0,15,0,0,216,284.3,287.3,250.3,100,2,12
12,Jimmy Graham,NOR,TE,25,16,11,1,0,0,0,0,0,0,0,0,0,0,149,99,1310,13.23,11,1,1,11,0,0,197,294.0,298.0,244.5,99,2,13
13,Wes Welker,NWE,WR,30,16,15,1,1,0,0,0,0,0,4,30,7.50,0,173,122,1569,12.86,9,1,0,9,0,0,214,335.9,338.9,274.9,98,3,14
14,Victor Cruz,NYG,WR,25,16,7,0,0,0,0,0,0,0,1,3,3.00,0,131,82,1536,18.73,9,1,1,9,0,0,208,287.9,291.9,246.9,92,4,15
15,Larry Fitzgerald,ARI,WR,28,16,16,1,0,0,0,0,0,0,0,0,0,0,154,80,1411,17.64,8,0,0,8,0,0,189,269.1,272.1,229.1,73,5,16
16,Steve Smith,CAR,WR,32,16,16,1,0,0,0,0,0,0,6,56,9.33,0,129,79,1394,17.65,7,3,2,7,1,0,189,264.0,269.0,224.5,73,6,17
17,Marshawn Lynch ,SEA,RB,25,15,15,1,0,0,2,0,0,0,285,1204,4.22,12,41,28,212,7.57,1,3,2,13,0,0,220,243.6,251.6,229.6,71,5,18
18,Michael Turner,ATL,RB,29,16,15,0,0,0,0,0,0,0,301,1340,4.45,11,26,17,168,9.88,0,3,2,11,0,0,217,229.8,237.8,221.3,68,6,19
19,Percy Harvin,MIN,WR,23,16,14,0,0,0,0,0,0,0,52,345,6.63,2,121,87,967,11.11,6,2,2,9,0,0,179,268.2,276.2,224.7,63,7,20
20,Roddy White,ATL,WR,30,16,16,1,0,0,0,0,0,0,0,0,0,0,180,100,1296,12.96,8,0,0,8,0,0,178,277.6,280.6,227.6,62,8,21
21,Eli Manning,NYG,QB,30,16,16,1,0,359,589,4933,29,16,35,15,0.43,1,0,0,0,0,0,8,4,1,0,0,289,280.8,303.8,296.8,60,6,22
22,Mike Wallace,PIT,WR,25,16,14,1,0,0,0,0,0,0,5,57,11.40,0,114,72,1193,16.57,8,1,1,8,0,0,173,243.0,247.0,207.0,57,9,23
23,Vincent Jackson,SDG,WR,28,16,16,1,0,0,0,0,0,0,3,51,17.00,0,115,60,1106,18.43,9,0,0,9,0,0,170,229.7,232.7,199.7,54,10,24
24,Tony Romo ,DAL,QB,31,16,16,0,0,346,522,4184,31,10,22,46,2.09,1,0,0,0,0,0,7,3,1,0,0,282,276.0,292.0,286.0,53,7,25
25,Matt Ryan,ATL,QB,26,16,16,0,0,347,566,4177,29,12,37,84,2.27,2,0,0,0,0,0,5,3,2,0,0,281,273.5,291.5,285.5,53,8,26
26,Marques Colston,NOR,WR,28,14,7,0,0,0,0,0,0,0,0,0,0,0,107,80,1143,14.29,8,1,1,8,0,0,162,240.3,244.3,200.3,46,11,27
27,Hakeem Nicks,NYG,WR,23,15,15,0,0,0,0,0,0,0,0,0,0,0,133,76,1192,15.68,7,0,0,7,0,0,161,237.2,240.2,199.2,45,12,28
28,Brandon Marshall,MIA,WR,27,16,16,1,0,0,0,0,0,0,1,13,13.00,0,141,81,1214,14.99,6,1,1,6,0,0,161,237.7,241.7,197.2,45,13,29
29,Ryan Mathews,SDG,RB,24,14,14,1,0,0,0,0,0,0,222,1091,4.91,6,59,50,455,9.10,0,5,2,6,0,0,191,236.6,244.6,211.6,42,7,30
30,Adrian Peterson,MIN,RB,26,12,12,0,0,0,0,0,0,0,208,970,4.66,12,24,18,139,7.72,1,1,0,13,0,0,189,206.9,212.9,197.9,40,8,31
31,Aaron Hernandez,NWE,TE,22,14,12,0,0,0,0,0,0,0,5,45,9.00,0,113,79,910,11.52,7,1,1,7,0,0,138,214.5,218.5,175.0,40,3,32
32,Michael Bush,OAK,RB,27,16,9,0,0,0,0,0,0,0,256,977,3.82,7,47,37,418,11.30,1,1,1,8,0,0,188,222.5,229.5,204.0,39,9,33
33,Darren Sproles,NOR,RB,28,16,4,0,0,0,0,0,0,0,87,603,6.93,2,111,86,710,8.26,7,1,0,10,0,0,187,277.3,283.3,234.3,39,10,34
34,A.J. Green,CIN,WR,23,15,15,1,0,0,0,0,0,0,5,53,10.60,0,115,65,1057,16.26,7,1,0,7,0,0,153,218.0,221.0,185.5,37,14,35
35,Philip Rivers,SDG,QB,30,16,16,1,0,366,582,4624,27,20,26,36,1.38,1,0,0,0,0,0,9,5,1,0,1,265,254.6,282.6,274.6,36,9,36
36,Laurent Robinson,DAL,WR,26,14,4,0,0,0,0,0,0,0,0,0,0,0,80,54,858,15.89,11,0,0,11,0,0,152,205.8,208.8,178.8,36,15,37
37,Steven Jackson,STL,RB,28,15,15,0,0,0,0,0,0,0,260,1145,4.40,5,58,42,333,7.93,1,2,1,6,0,0,184,223.8,230.8,202.8,35,11,38
38,Nate Washington,TEN,WR,28,16,15,0,0,0,0,0,0,0,2,5,2.50,1,121,74,1023,13.82,7,0,0,8,0,0,151,224.8,227.8,187.8,35,16,39
39,Frank Gore,SFO,RB,28,16,15,1,0,0,0,0,0,0,282,1211,4.29,8,31,17,114,6.71,0,2,2,8,0,0,183,193.5,201.5,185.0,34,12,40
40,Julio Jones ,ATL,WR,22,13,13,0,0,0,0,0,0,0,6,56,9.33,0,95,54,959,17.76,8,1,1,8,0,0,150,201.5,205.5,174.5,33,17,41
