,Name,Team,Pos,Age,Games Played,Games Started,Pro Bowl,All Pro,Completions,Passing Attempts,Passing Yards,Passing TD,Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing TD,Targets,Receptions,Receiving Yards,Y/R,Receiving TD,Fumbles,Fumbles Lost,Total TD,2PM,2PP,Fantasy Points,PPR,DraftKings Points,FanDuel Points,VBD,Position Rank,Overall Rank
0,Adrian Peterson,MIN,RB,27,16,16,1,1,0,0,0,0,0,348,2097,6.03,12,51,40,217,5.43,1,4,2,13,1,0,307,347.4,355.4,327.4,177,1,1
1,Doug Martin ,TAM,RB,23,16,16,1,0,0,0,0,0,0,319,1454,4.56,11,70,49,472,9.63,1,1,1,12,0,0,263,311.6,318.6,287.1,132,2,2
2,Arian Foster ,HOU,RB,26,16,16,1,0,0,0,0,0,0,351,1424,4.06,15,58,40,217,5.43,2,3,2,17,0,0,262,302.1,310.1,282.1,132,3,3
3,Marshawn Lynch ,SEA,RB,26,16,15,1,1,0,0,0,0,0,315,1590,5.05,11,30,23,196,8.52,1,5,2,12,0,0,247,269.6,277.6,258.1,116,4,4
4,Alfred Morris ,WAS,RB,24,16,16,0,0,0,0,0,0,0,335,1613,4.81,13,16,11,77,7.00,0,4,3,13,0,0,241,252.0,258.0,246.5,111,5,5
5,Calvin Johnson ,DET,WR,27,16,16,1,1,0,0,0,0,0,0,0,0,0,204,122,1964,16.10,5,3,3,5,0,0,220,342.4,348.4,281.4,102,1,6
6,Brandon Marshall,CHI,WR,28,16,16,1,1,0,0,0,0,0,1,-2,-2.00,0,192,118,1508,12.78,11,2,0,11,0,0,217,334.6,337.6,275.6,98,2,7
7,Drew Brees,NOR,QB,33,16,16,1,0,422,670,5177,43,19,15,5,0.33,1,0,0,0,0,0,5,1,1,0,0,346,345.6,368.6,364.6,95,1,8
8,Aaron Rodgers ,GNB,QB,29,16,16,1,0,371,552,4295,39,8,54,259,4.80,2,1,1,-1,-1.00,0,5,4,2,0,1,344,344.6,362.6,352.1,93,2,9
9,Ray Rice,BAL,RB,25,16,16,1,0,0,0,0,0,0,257,1143,4.45,9,83,61,478,7.84,1,1,0,10,0,0,222,283.1,289.1,252.6,92,6,10
10,Tom Brady ,NWE,QB,35,16,16,1,0,401,637,4827,34,8,23,32,1.39,4,0,0,0,0,0,2,0,4,0,0,340,340.3,351.3,348.3,90,3,11
