,Name,Team,Pos,Age,Games Played,Games Started,Pro Bowl,All Pro,Completions,Passing Attempts,Passing Yards,Passing TD,Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing TD,Targets,Receptions,Receiving Yards,Y/R,Receiving TD,Fumbles,Fumbles Lost,Total TD,2PM,2PP,Fantasy Points,PPR,DraftKings Points,FanDuel Points,VBD,Position Rank,Overall Rank
0,David Johnson,ARI,RB,25,16,16,1,1,0,0,0,0,0,293,1239,4.23,16,120,80,879,10.99,4,5,3,20,1,0,328,407.8,416.8,367.8,196,1,1
1,Ezekiel Elliott,DAL,RB,21,15,15,1,1,0,0,0,0,0,322,1631,5.07,15,39,32,363,11.34,1,5,1,16,0,0,293,325.4,332.4,309.4,162,2,2
2,LeSean McCoy,BUF,RB,28,15,15,1,0,0,0,0,0,0,234,1267,5.41,13,57,50,356,7.12,1,3,0,14,1,0,248,298.3,304.3,273.3,117,3,3
3,Aaron Rodgers ,GNB,QB,33,16,16,1,0,401,610,4428,40,7,67,369,5.51,4,0,0,0,0,0,8,4,4,1,1,382,380.0,397.0,387.0,114,1,4
4,DeMarco Murray,TEN,RB,28,16,16,1,0,1,2,10,1,0,293,1287,4.39,9,67,53,377,7.11,3,3,1,12,0,0,243,293.8,300.8,267.3,111,4,5
5,Le'Veon Bell,PIT,RB,24,12,12,1,0,0,1,0,0,0,261,1268,4.86,7,94,75,616,8.21,2,4,1,9,1,0,242,317.4,324.4,279.9,111,5,6
6,Devonta Freeman ,ATL,RB,24,16,16,1,0,0,0,0,0,0,227,1079,4.75,11,65,54,462,8.56,2,1,1,13,0,0,232,284.1,291.1,257.1,101,6,7
7,LeGarrette Blount,NWE,RB,30,16,8,0,0,0,0,0,0,0,299,1161,3.88,18,8,7,38,5.43,0,2,1,18,0,0,226,232.9,236.9,229.4,94,7,8
8,Matt Ryan,ATL,QB,31,16,16,1,1,373,534,4944,38,7,35,117,3.34,0,0,0,0,0,0,4,2,0,1,1,355,347.5,362.5,354.5,88,2,9
9,Mike Evans,TAM,WR,23,16,16,1,0,0,0,0,0,0,0,0,0,0,173,96,1321,13.76,12,0,0,12,2,0,208,304.1,307.1,256.1,82,1,10
10,Jordy Nelson,GNB,WR,31,16,16,0,0,0,0,0,0,0,0,0,0,0,152,97,1257,12.96,14,1,1,14,0,0,208,304.7,308.7,256.2,82,2,11
11,Antonio Brown ,PIT,WR,28,15,15,1,1,0,0,0,0,0,3,9,3.00,0,154,106,1284,12.11,12,0,0,12,0,0,207,307.3,310.3,254.3,81,3,12
12,Melvin Gordon,SDG,RB,23,13,11,1,0,0,0,0,0,0,254,997,3.93,10,57,41,419,10.22,2,2,2,12,0,0,210,250.6,258.6,230.1,78,8,13
13,Jordan Howard,CHI,RB,22,15,13,1,0,0,0,0,0,0,252,1313,5.21,6,50,29,298,10.28,1,2,1,7,0,0,201,230.1,237.1,215.6,70,9,14
14,Odell Beckham Jr.,NYG,WR,24,16,16,1,0,0,0,0,0,0,1,9,9.00,0,169,101,1367,13.53,10,3,1,10,0,0,196,296.6,300.6,246.1,69,4,15
15,Drew Brees,NOR,QB,37,16,16,1,0,471,673,5208,37,15,23,20,0.87,2,0,0,0,0,0,5,4,2,0,0,336,332.3,354.3,347.3,68,3,16
16,Mark Ingram,NOR,RB,27,16,14,0,0,0,0,0,0,0,205,1043,5.09,6,58,46,319,6.93,4,2,2,10,2,0,198,242.2,250.2,219.2,67,10,17
17,T.Y. Hilton,IND,WR,27,16,16,1,0,0,0,0,0,0,0,0,0,0,155,91,1448,15.91,6,0,0,6,1,0,185,273.8,276.8,228.3,59,5,18
18,Jay Ajayi,MIA,RB,23,15,12,1,0,0,0,0,0,0,260,1272,4.89,8,35,27,151,5.59,0,4,1,8,0,0,188,215.3,222.3,201.8,57,11,19
19,Julio Jones ,ATL,WR,27,14,14,1,1,0,0,0,0,0,0,0,0,0,129,83,1409,16.98,6,0,0,6,0,0,179,259.9,262.9,218.4,53,6,20
20,Travis Kelce,KAN,TE,27,16,15,1,1,0,0,0,0,0,1,-5,-5.00,0,117,85,1125,13.24,4,0,0,4,1,0,138,223.0,226.0,180.5,49,1,21
21,Davante Adams,GNB,WR,24,16,15,0,0,0,0,0,0,0,0,0,0,0,121,75,997,13.29,12,2,1,12,1,0,174,246.7,250.7,209.2,48,7,22
22,Frank Gore,IND,RB,33,16,16,0,0,0,0,0,0,0,263,1025,3.90,4,47,38,277,7.29,4,2,1,8,0,0,176,214.2,221.2,195.2,45,12,23
23,Latavius Murray,OAK,RB,26,14,12,0,0,0,0,0,0,0,195,788,4.04,12,43,33,264,8.00,0,2,1,12,0,0,175,208.2,215.2,191.7,44,13,24
24,Brandin Cooks,NOR,WR,23,16,12,0,0,0,0,0,0,0,6,30,5.00,0,117,78,1173,15.04,8,1,0,8,0,0,168,246.3,249.3,207.3,42,8,25
25,Greg Olsen,CAR,TE,31,16,16,1,0,0,0,0,0,0,0,0,0,0,129,80,1073,13.41,3,0,0,3,1,0,131,207.3,210.3,167.3,42,2,26
26,Andrew Luck ,IND,QB,27,15,15,0,0,346,545,4240,31,13,64,341,5.33,2,0,0,0,0,0,6,5,2,0,2,310,307.7,331.7,320.7,42,4,27
27,Kyle Rudolph ,MIN,TE,27,16,16,0,0,0,0,0,0,0,0,0,0,0,132,83,840,10.12,7,0,0,7,0,0,128,209.0,212.0,167.5,39,3,28
28,Kirk Cousins ,WAS,QB,28,16,16,1,0,406,606,4917,25,12,34,96,2.82,4,0,0,0,0,0,9,3,4,0,0,306,300.3,318.3,312.3,38,5,29
29,Michael Thomas,NOR,WR,23,15,12,0,0,0,0,0,0,0,0,0,0,0,121,92,1137,12.36,9,2,2,9,0,0,164,255.7,260.7,209.7,38,9,30
30,Doug Baldwin ,SEA,WR,28,16,15,1,0,1,1,15,1,0,3,2,0.67,0,125,94,1128,12.00,7,1,0,7,0,0,162,253.6,256.6,206.6,35,10,31
31,Jimmy Graham,SEA,TE,30,16,15,1,0,0,0,0,0,0,1,0,0.00,0,95,65,923,14.20,6,2,2,6,0,0,124,189.3,194.3,156.8,35,4,32
32,Delanie Walker,TEN,TE,32,15,9,1,0,0,0,0,0,0,2,11,5.50,0,102,65,800,12.31,7,1,0,7,0,0,123,188.1,191.1,155.6,34,5,33
33,Isaiah Crowell,CLE,RB,23,16,16,0,0,0,0,0,0,0,198,952,4.81,7,53,40,319,7.98,0,2,2,7,0,0,165,205.1,213.1,185.1,34,14,34
34,Carlos Hyde,SFO,RB,26,13,13,0,0,0,0,0,0,0,217,988,4.55,6,33,27,163,6.04,3,5,3,9,1,0,165,192.1,201.1,178.6,34,15,35
35,Spencer Ware,KAN,RB,25,14,14,0,0,0,0,0,0,0,214,921,4.30,3,42,33,447,13.55,2,4,3,5,0,0,161,193.8,202.8,177.3,29,16,36
36,Lamar Miller,HOU,RB,25,14,14,0,0,0,0,0,0,0,268,1073,4.00,5,39,31,188,6.06,1,2,1,6,0,0,160,191.1,198.1,175.6,29,18,37
37,Tevin Coleman,ATL,RB,23,13,0,0,0,0,0,0,0,0,118,520,4.41,8,40,31,421,13.58,3,1,0,11,0,0,160,191.1,197.1,175.6,29,17,38
38,Michael Crabtree,OAK,WR,29,16,16,0,0,0,0,0,0,0,0,0,0,0,145,89,1003,11.27,8,2,0,8,1,0,152,239.3,242.3,194.8,26,11,39
39,Amari Cooper,OAK,WR,22,16,14,1,0,0,0,0,0,0,1,0,0.00,0,132,83,1153,13.89,5,2,0,5,2,0,151,232.3,235.3,190.8,25,12,40
40,Dak Prescott ,DAL,QB,23,16,16,1,0,311,459,3667,23,4,57,282,4.95,6,0,0,0,0,0,9,4,6,0,0,293,286.9,300.9,290.9,25,6,41
41,Cameron Brate,TAM,TE,25,15,10,0,0,0,0,0,0,0,0,0,0,0,81,57,660,11.58,8,1,0,8,0,0,114,171.0,174.0,142.5,25,6,42
42,Martellus Bennett ,NWE,TE,29,16,12,0,0,0,0,0,0,0,2,10,5.00,0,73,55,701,12.75,7,0,0,7,0,0,113,168.1,171.1,140.6,24,7,43
43,Jeremy Hill,CIN,RB,24,15,13,0,0,0,0,0,0,0,222,839,3.78,9,27,21,174,8.29,0,0,0,9,0,0,155,176.3,182.3,165.8,24,19,44
44,Todd Gurley,LAR,RB,22,16,16,0,0,0,0,0,0,0,278,885,3.18,6,58,43,327,7.60,0,2,1,6,0,0,155,198.2,205.2,176.7,24,20,45
45,Rishard Matthews,TEN,WR,27,16,9,0,0,0,0,0,0,0,0,0,0,0,108,65,945,14.54,9,1,1,9,0,0,149,211.5,215.5,179.0,22,13,46
46,Matt Forte ,NYJ,RB,31,14,13,0,0,0,0,0,0,0,218,813,3.73,7,43,30,263,8.77,1,1,1,8,0,0,154,183.6,190.6,168.6,22,21,47
47,Tyrell Williams,SDG,WR,24,16,12,0,0,0,0,0,0,0,0,0,0,0,119,69,1059,15.35,7,0,0,7,0,0,148,216.9,219.9,182.4,22,14,48
48,Zach Ertz,PHI,TE,26,14,12,0,0,0,0,0,0,0,0,0,0,0,106,78,816,10.46,4,0,0,4,0,0,106,183.6,186.6,144.6,16,8,49
49,Jordan Reed,WAS,TE,26,12,8,1,0,0,0,0,0,0,0,0,0,0,89,66,686,10.39,6,1,1,6,0,0,105,168.6,172.6,135.6,15,9,50
50,Matthew Stafford,DET,QB,28,16,16,0,0,388,594,4327,24,10,37,207,5.59,2,1,0,0,0,0,3,2,2,0,1,282,279.8,297.8,289.8,14,7,51
51,Bilal Powell,NYJ,WR,28,16,4,0,0,0,0,0,0,0,131,722,5.51,3,74,58,388,6.69,2,1,1,5,0,0,139,197.0,204.0,168.0,13,15,52
52,Terrelle Pryor,CLE,WR,27,16,15,0,0,5,9,41,0,0,8,21,2.63,1,140,77,1007,13.08,4,1,0,5,1,0,138,213.4,216.4,174.9,12,16,53
53,Tyreek Hill,KAN,WR,22,16,1,1,1,0,0,0,0,0,24,267,11.13,3,83,61,593,9.72,6,4,1,12,0,0,138,217.0,224.0,186.5,12,17,54
54,Jarvis Landry,MIA,WR,24,16,16,1,0,0,1,0,0,0,5,17,3.40,0,131,94,1136,12.09,4,2,2,4,1,0,137,231.3,236.3,184.3,11,18,55
55,Larry Fitzgerald,ARI,WR,33,16,16,1,0,0,1,0,0,0,2,5,2.50,0,150,107,1023,9.56,6,2,1,6,0,0,137,243.8,247.8,190.3,11,19,56
56,Demaryius Thomas,DEN,WR,29,16,16,1,0,0,0,0,0,0,0,0,0,0,144,90,1083,12.03,5,2,2,5,0,1,136,226.3,231.3,181.3,10,20,57
57,Kelvin Benjamin,CAR,WR,25,16,13,0,0,0,0,0,0,0,0,0,0,0,118,63,941,14.94,7,1,1,7,0,0,134,197.1,201.1,165.6,8,21,58
58,Dez Bryant,DAL,WR,28,13,13,1,0,1,1,10,1,0,0,0,0,0,96,50,796,15.92,8,1,1,8,0,0,134,180.0,184.0,155.0,8,22,59
59,Emmanuel Sanders ,DEN,WR,29,16,16,1,0,0,0,0,0,0,1,4,4.00,0,137,79,1032,13.06,5,1,0,5,0,0,134,212.6,215.6,173.1,7,23,60
60,Jonathan Stewart,CAR,RB,29,13,13,0,0,0,0,0,0,0,218,824,3.78,9,21,8,60,7.50,0,3,2,9,0,0,138,146.4,151.4,142.4,7,22,61
61,Hunter Henry ,SDG,TE,22,15,10,0,0,0,0,0,0,0,0,0,0,0,53,36,478,13.28,8,1,1,8,0,0,96,129.8,133.8,111.8,7,10,62
62,Julian Edelman,NWE,WR,30,16,13,0,0,0,0,0,0,0,12,57,4.75,0,159,98,1106,11.29,3,3,2,3,1,0,132,230.3,235.3,181.3,6,24,63
63,Golden Tate,DET,WR,28,16,16,0,0,0,0,0,0,0,10,4,0.40,0,135,91,1077,11.84,4,2,1,4,1,0,132,223.1,227.1,177.6,6,25,64
64,Antonio Gates,SDG,TE,36,14,9,0,0,0,0,0,0,0,0,0,0,0,93,53,548,10.34,7,1,1,7,0,0,95,147.8,151.8,121.3,6,11,65
65,Terrance West ,BAL,RB,25,16,13,0,0,0,0,0,0,0,193,774,4.01,5,45,34,236,6.94,1,2,0,6,0,0,137,171.0,177.0,154.0,5,23,66
66,Mike Wallace,BAL,WR,30,16,16,0,0,0,0,0,0,0,5,31,6.20,0,116,72,1017,14.13,4,1,0,4,1,0,131,202.8,205.8,166.8,5,26,67
67,Tyrod Taylor ,BUF,QB,27,15,15,0,0,269,436,3023,17,6,95,580,6.11,6,0,0,0,0,0,4,2,6,1,1,271,270.9,284.9,276.9,3,8,68
68,Derek Carr,OAK,QB,25,15,15,1,0,357,560,3937,28,6,39,70,1.79,0,0,0,0,0,0,5,3,0,0,5,270,268.5,280.5,274.5,3,9,69
69,Blake Bortles ,JAX,QB,24,16,16,0,0,368,625,3905,23,16,58,359,6.19,3,1,1,20,20.00,1,8,6,4,1,1,270,271.1,299.1,286.6,2,10,70
70,Russell Wilson ,SEA,QB,28,16,16,0,0,353,546,4219,21,11,72,259,3.60,1,2,2,14,7.00,1,8,2,2,0,1,270,270.1,289.1,280.1,2,11,71
71,Kenny Britt,LAR,WR,28,15,15,0,0,0,0,0,0,0,0,0,0,0,111,68,1002,14.74,5,2,1,5,0,0,128,196.2,200.2,162.2,2,27,72
72,Kenny Stills,MIA,WR,24,16,16,0,0,0,0,0,0,0,0,0,0,0,81,42,726,17.29,9,0,0,9,0,0,127,168.6,171.6,147.6,0,28,73
73,Allen Robinson,JAX,WR,23,16,16,0,0,0,0,0,0,0,0,0,0,0,151,73,883,12.10,6,1,0,6,1,0,126,199.3,202.3,162.8,0,29,74
74,Coby Fleener ,NOR,TE,28,16,8,0,0,0,0,0,0,0,1,2,2.00,1,81,50,631,12.62,3,2,0,4,0,0,89,137.3,140.3,112.3,0,12,75
75,Adam Thielen,MIN,WR,26,16,10,0,0,0,0,0,0,0,2,15,7.50,0,92,69,967,14.01,5,2,1,5,0,0,126,195.2,199.2,160.7,0,30,76
76,Ryan Mathews,PHI,RB,29,13,8,0,0,0,0,0,0,0,155,661,4.26,8,14,13,115,8.85,1,3,2,9,2,0,132,144.6,152.6,138.1,0,24,77
77,Marcus Mariota,TEN,QB,23,15,15,0,0,276,451,3426,26,9,60,349,5.82,2,1,0,0,0,0,9,5,2,0,0,268,259.9,279.9,268.9,0,12,78
78,Ben Roethlisberger,PIT,QB,34,14,14,1,0,328,509,3819,29,13,16,14,0.88,1,0,0,0,0,0,8,2,1,0,3,266,252.2,270.2,265.2,0,13,79
79,Philip Rivers,SDG,QB,35,16,16,1,0,349,578,4386,33,21,14,35,2.50,0,0,0,0,0,0,9,5,0,0,0,263,258.9,287.9,279.9,0,14,80
80,Jameis Winston,TAM,QB,22,16,16,0,0,345,567,4090,28,18,53,165,3.11,1,0,0,0,0,0,10,6,1,0,3,262,256.1,286.1,274.1,0,15,81
81,Tom Brady ,NWE,QB,39,12,12,1,0,291,432,3554,28,2,28,64,2.29,0,0,0,0,0,0,5,0,0,0,1,261,258.6,263.6,260.6,0,17,82
82,Andy Dalton,CIN,QB,29,16,16,1,0,364,563,4206,18,8,46,184,4.00,4,0,0,0,0,0,9,3,4,0,0,261,260.6,277.6,268.6,0,16,83
83,Cam Newton,CAR,QB,27,15,14,0,0,270,510,3509,19,14,90,359,3.99,5,0,0,0,0,0,3,2,5,1,1,260,254.3,276.3,268.3,0,18,84
84,Carson Palmer,ARI,QB,37,15,15,0,0,364,597,4233,26,14,14,38,2.71,0,0,0,0,0,0,14,4,0,0,1,249,243.1,264.1,257.1,0,19,85
85,Joe Flacco,BAL,QB,31,16,16,0,0,436,672,4317,20,15,21,58,2.76,2,0,0,0,0,0,5,3,2,0,4,244,242.5,263.5,257.5,0,20,86
86,Eli Manning,NYG,QB,35,16,16,0,0,377,598,4027,26,16,21,-9,-0.43,0,0,0,0,0,0,7,4,0,0,0,226,224.2,247.2,240.2,0,21,87
87,Alex Smith,KAN,QB,32,15,15,1,0,328,489,3502,15,8,48,134,2.79,5,1,1,3,3.00,0,7,4,5,0,2,226,224.8,242.8,232.3,0,22,88
88,Sam Bradford ,MIN,QB,29,15,15,0,0,395,552,3877,20,5,20,53,2.65,0,1,1,5,5.00,0,10,5,0,0,0,223,221.9,234.9,226.4,0,23,89
89,Carson Wentz ,PHI,QB,24,16,16,0,0,379,607,3782,16,14,46,150,3.26,2,1,1,7,7.00,0,14,3,2,1,1,217,214.0,237.0,227.5,0,24,90
90,Colin Kaepernick,SFO,QB,29,12,11,0,0,196,331,2241,16,4,69,468,6.78,2,0,0,0,0,0,9,3,2,1,0,200,200.4,213.4,204.4,0,25,91
91,Trevor Siemian ,DEN,QB,25,14,14,0,0,289,486,3401,18,10,28,57,2.04,0,0,0,0,0,0,4,2,0,1,0,194,191.7,206.7,201.7,0,26,92
92,Ryan Tannehill,MIA,QB,28,13,13,0,0,261,389,2995,19,12,39,164,4.21,1,0,0,0,0,0,9,3,1,0,1,192,190.2,211.2,202.2,0,27,93
93,Brock Osweiler ,HOU,QB,26,15,14,0,0,301,510,2957,15,16,30,131,4.37,2,1,1,-14,-14.00,0,5,1,2,0,0,168,169.0,192.0,184.5,0,28,94
94,Ryan Fitzpatrick,NYJ,QB,34,14,11,0,0,228,403,2710,12,17,33,130,3.94,0,0,0,0,0,0,9,1,0,0,0,133,133.4,157.4,150.4,0,29,95
95,Jamison Crowder,WAS,WR,23,16,9,0,0,0,0,0,0,0,2,-2,-1.00,0,99,67,847,12.64,7,2,1,8,0,0,125,197.5,201.5,164.0,0,32,96
