,Name,Team,Pos,Age,Games Played,Games Started,Pro Bowl,All Pro,Completions,Passing Attempts,Passing Yards,Passing TD,Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing TD,Targets,Receptions,Receiving Yards,Y/R,Receiving TD,Fumbles,Fumbles Lost,Total TD,2PM,2PP,Fantasy Points,PPR,DraftKings Points,FanDuel Points,VBD,Position Rank,Overall Rank
0,Arian Foster ,HOU,RB,24,16,13,1,1,0,0,0,0,0,327,1616,4.94,16,84,66,604,9.15,2,3,2,18,0,0,330,392.0,400.0,359.0,192,1,1
1,Peyton Hillis,CLE,RB,24,16,14,0,0,1,2,13,0,0,270,1177,4.36,11,77,61,477,7.82,2,8,5,13,0,0,244,294.9,305.9,264.4,106,2,2
2,Adrian Peterson,MIN,RB,25,15,15,1,0,0,0,0,0,0,283,1298,4.59,12,50,36,341,9.47,1,1,1,13,0,0,242,275.9,282.9,257.9,104,3,3
3,Jamaal Charles,KAN,RB,24,16,6,1,1,0,0,0,0,0,230,1467,6.38,5,64,45,468,10.40,3,3,2,8,0,0,242,282.5,290.5,260.0,103,4,4
4,Chris Johnson ,TEN,RB,25,16,16,1,0,0,0,0,0,0,316,1364,4.32,11,57,44,245,5.57,1,3,2,12,0,0,233,272.9,280.9,250.9,95,5,5
5,Brandon Lloyd,DEN,WR,29,16,11,1,0,0,0,0,0,0,1,-18,-18.00,0,153,77,1448,18.81,11,0,0,11,0,0,209,286.0,289.0,247.5,92,1,6
6,Dwayne Bowe,KAN,WR,26,16,16,1,0,0,0,0,0,0,1,4,4.00,0,133,72,1162,16.14,15,1,0,15,0,0,207,278.6,281.6,242.6,89,2,7
7,Darren McFadden,OAK,RB,23,13,13,0,0,0,1,0,0,0,223,1157,5.19,7,61,47,507,10.79,3,4,3,10,0,0,226,267.4,276.4,243.9,88,6,8
8,Roddy White,ATL,WR,29,16,16,1,1,0,0,0,0,0,1,3,3.00,0,179,115,1389,12.08,10,1,1,10,2,0,203,316.2,320.2,258.7,86,3,9
9,Michael Vick,PHI,QB,30,12,12,1,0,233,372,3018,21,6,100,676,6.76,9,0,0,0,0,0,11,3,9,0,1,316,310.3,325.3,316.3,85,1,10
10,Rashard Mendenhall,PIT,RB,23,16,16,0,0,0,0,0,0,0,324,1273,3.93,13,34,23,167,7.26,0,2,2,13,0,0,222,241.0,249.0,229.5,84,7,11
11,LeSean McCoy,PHI,RB,22,15,13,0,0,0,0,0,0,0,207,1080,5.22,7,91,78,592,7.59,2,2,1,9,0,0,221,297.2,304.2,258.2,83,8,12
12,Greg Jennings,GNB,WR,27,16,16,1,0,0,0,0,0,0,1,-1,-1.00,0,125,76,1265,16.64,12,2,0,12,0,0,198,274.4,277.4,236.4,81,4,13
13,Matt Forte ,CHI,RB,25,16,16,0,0,0,0,0,0,0,237,1069,4.51,6,70,51,547,10.73,3,3,2,9,1,0,218,264.6,272.6,239.1,80,10,14
14,Michael Turner,ATL,RB,28,16,15,1,0,0,0,0,0,0,334,1371,4.10,12,20,12,85,7.08,0,2,2,12,0,0,218,225.6,230.6,219.6,80,9,15
15,Ray Rice,BAL,RB,23,16,14,0,0,0,0,0,0,0,307,1220,3.97,5,83,63,556,8.83,1,0,0,6,0,0,214,276.6,282.6,245.1,76,11,16
16,Aaron Rodgers ,GNB,QB,27,15,15,0,0,312,475,3922,28,11,64,356,5.56,4,0,0,0,0,0,4,1,4,0,0,306,304.5,322.5,315.5,75,2,17
17,Mike Wallace,PIT,WR,24,16,16,0,0,0,0,0,0,0,5,39,7.80,0,98,60,1257,20.95,10,1,0,10,0,0,190,249.6,252.6,219.6,72,5,18
18,Calvin Johnson ,DET,WR,25,15,15,1,0,0,0,0,0,0,4,32,8.00,0,137,77,1120,14.55,12,1,0,12,1,0,189,266.2,269.2,227.7,72,6,19
19,Tom Brady ,NWE,QB,33,16,16,1,1,324,492,3900,36,4,31,30,0.97,1,0,0,0,0,0,3,1,1,0,0,301,299.0,307.0,303.0,70,3,20
20,Ahmad Bradshaw,NYG,RB,24,16,11,0,0,0,0,0,0,0,276,1235,4.47,8,58,47,314,6.68,0,7,6,8,1,0,205,239.9,251.9,216.4,67,12,21
21,Maurice Jones-Drew,JAX,RB,25,14,14,1,0,0,1,0,0,1,299,1324,4.43,5,44,34,317,9.32,2,2,2,7,0,0,204,234.1,243.1,218.1,66,13,22
22,Steven Jackson,STL,RB,27,16,16,1,0,0,0,0,0,0,330,1241,3.76,6,62,46,383,8.33,0,1,1,6,0,0,198,242.4,249.4,219.4,60,14,23
23,Jason Witten,DAL,TE,28,16,16,1,1,0,0,0,0,0,0,0,0,0,128,94,1002,10.66,9,1,1,9,1,0,156,248.2,252.2,201.2,60,1,24
24,Philip Rivers,SDG,QB,29,16,16,1,0,357,541,4710,30,13,29,52,1.79,0,0,0,0,0,0,7,4,0,0,1,290,281.6,301.6,294.6,58,4,25
25,Peyton Manning,IND,QB,34,16,16,1,0,450,679,4700,33,17,18,18,1.00,0,0,0,0,0,0,3,1,0,0,0,288,285.8,306.8,302.8,57,5,26
26,Reggie Wayne,IND,WR,32,16,16,1,1,0,0,0,0,0,0,0,0,0,175,111,1355,12.21,6,1,1,6,0,0,172,280.5,284.5,225.0,54,7,27
27,Hakeem Nicks,NYG,WR,22,13,12,0,0,0,0,0,0,0,0,0,0,0,128,79,1052,13.32,11,1,0,11,0,0,171,250.2,253.2,210.7,54,8,28
28,Andre Johnson ,HOU,WR,29,13,13,1,0,0,0,0,0,0,2,10,5.00,0,138,86,1216,14.14,8,1,0,8,0,0,171,256.6,259.6,213.6,53,9,29
29,Steve Johnson,BUF,WR,24,16,13,0,0,0,0,0,0,0,0,0,0,0,141,82,1073,13.09,10,1,1,10,0,0,167,247.3,251.3,206.3,50,10,30
30,BenJarvus Green-Ellis,NWE,RB,25,16,11,0,0,0,0,0,0,0,229,1008,4.40,13,16,12,85,7.08,0,0,0,13,0,0,187,199.3,202.3,193.3,49,15,31
31,Mike Williams,TAM,WR,23,16,16,0,0,0,0,0,0,0,0,0,0,0,129,65,964,14.83,11,3,2,11,0,0,162,223.4,228.4,190.9,45,11,32
32,Miles Austin,DAL,WR,26,16,16,1,0,0,0,0,0,0,7,93,13.29,1,119,69,1041,15.09,7,1,1,8,0,0,161,228.4,232.4,193.9,44,12,33
33,Jeremy Maclin,PHI,WR,22,16,16,0,0,0,0,0,0,0,3,36,12.00,0,115,70,964,13.77,10,1,1,10,0,0,160,228.0,232.0,193.0,43,13,34
34,Drew Brees,NOR,QB,31,16,16,1,0,448,658,4620,33,22,18,-3,-0.17,0,1,1,7,7.00,0,9,2,0,0,0,273,270.2,297.2,291.7,42,6,35
35,Antonio Gates,SDG,TE,30,10,10,1,0,0,0,0,0,0,0,0,0,0,65,50,782,15.64,10,0,0,10,0,0,138,188.2,191.2,163.2,42,2,36
36,Cedric Benson ,CIN,RB,28,16,16,0,0,0,0,0,0,0,321,1111,3.46,7,37,28,178,6.36,1,7,5,8,1,0,179,196.9,207.9,182.9,41,16,37
37,DeSean Jackson,PHI,WR,24,14,14,1,0,0,0,0,0,0,16,104,6.50,1,95,47,1056,22.47,6,4,1,8,0,0,158,209.0,216.0,185.5,41,14,38
38,Vernon Davis ,SFO,TE,26,16,16,0,0,0,0,0,0,0,0,0,0,0,93,56,914,16.32,7,0,0,7,1,0,135,191.4,194.4,163.4,39,3,39
39,Terrell Owens,CIN,WR,37,14,11,0,0,0,0,0,0,0,0,0,0,0,139,72,983,13.65,9,0,0,9,0,0,152,224.3,227.3,188.3,35,15,40
40,Larry Fitzgerald,ARI,WR,27,16,15,1,0,0,0,0,0,0,0,0,0,0,173,90,1137,12.63,6,0,0,6,1,0,152,241.7,244.7,196.7,34,16,41
41,Marcedes Lewis,JAX,TE,26,16,16,1,0,0,0,0,0,0,0,0,0,0,89,58,700,12.07,10,2,2,10,0,0,130,184.0,189.0,155.0,34,4,42
42,Josh Freeman ,TAM,QB,22,16,16,0,0,291,474,3451,25,6,68,364,5.35,0,0,0,0,0,0,7,3,0,1,0,264,258.4,273.4,264.4,33,7,43
43,Mario Manningham,NYG,WR,24,16,8,0,0,0,0,0,0,0,1,2,2.00,0,93,60,944,15.73,9,1,1,9,0,0,149,206.6,210.6,176.6,31,17,44
44,Santana Moss,WAS,WR,31,16,16,0,0,0,0,0,0,0,5,-6,-1.20,0,145,93,1115,11.99,6,3,2,6,0,0,147,235.9,240.9,189.4,30,18,45
45,Matt Ryan,ATL,QB,25,16,16,1,0,357,571,3705,28,9,46,122,2.65,0,0,0,0,0,0,4,4,0,0,2,258,250.4,269.4,259.4,27,8,46
46,Marques Colston,NOR,WR,27,15,11,0,0,0,0,0,0,0,1,1,1.00,0,131,84,1023,12.18,7,0,0,7,0,0,144,228.4,231.4,186.4,27,19,47
47,LaDainian Tomlinson,NYJ,RB,31,15,13,0,0,0,0,0,0,0,219,914,4.17,6,79,52,368,7.08,0,3,0,6,0,0,164,216.2,222.2,190.2,26,17,48
48,Knowshon Moreno,DEN,RB,23,13,13,0,0,0,0,0,0,0,182,779,4.28,5,48,37,372,10.05,3,3,2,8,0,0,163,196.1,204.1,177.6,25,18,49
49,Mike Tolbert,SDG,RB,25,15,4,0,0,0,0,0,0,0,182,735,4.04,11,29,25,216,8.64,0,5,3,11,1,0,163,182.1,191.1,169.6,25,19,50
50,Frank Gore,SFO,RB,27,11,11,0,0,0,0,0,0,0,203,853,4.20,3,72,46,452,9.83,2,4,2,5,0,0,161,202.5,210.5,179.5,22,20,51
51,Matt Schaub,HOU,QB,29,16,16,0,0,365,574,4370,24,12,22,28,1.27,0,0,0,0,0,0,9,3,0,0,1,252,245.6,263.6,257.6,20,9,52
52,Rob Gronkowski,NWE,TE,21,16,11,0,0,0,0,0,0,0,0,0,0,0,59,42,546,13.00,10,1,1,10,0,0,115,154.6,158.6,133.6,18,5,53
53,Percy Harvin,MIN,WR,22,14,13,0,0,0,0,0,0,0,18,107,5.94,1,109,71,868,12.23,5,1,1,7,1,0,136,210.5,217.5,175.0,18,20,54
54,Fred Jackson,BUF,RB,29,16,13,0,0,0,0,0,0,0,222,927,4.18,5,54,31,215,6.94,2,5,2,7,0,0,156,183.2,191.2,167.7,18,21,55
55,Braylon Edwards,NYJ,WR,27,16,15,0,0,0,0,0,0,0,1,4,4.00,0,101,53,904,17.06,7,1,1,7,1,0,135,185.8,189.8,159.3,17,21,56
56,Kenny Britt,TEN,WR,22,12,7,0,0,0,0,0,0,0,0,0,0,0,73,42,775,18.45,9,1,1,9,1,0,134,173.5,177.5,152.5,16,22,57
57,Eli Manning,NYG,QB,29,16,16,0,0,339,539,4002,31,25,32,70,2.19,0,0,0,0,0,0,7,6,0,0,0,241,229.1,263.1,254.1,10,10,58
58,Wes Welker,NWE,WR,29,15,11,1,0,0,0,0,0,0,0,0,0,0,123,86,848,9.86,7,1,0,7,0,0,127,213.8,215.8,170.8,9,23,59
59,Johnny Knox,CHI,WR,24,16,16,0,0,0,0,0,0,0,1,2,2.00,0,100,51,960,18.82,5,1,1,5,0,0,126,175.2,179.2,149.7,9,24,60
60,Chris Cooley,WAS,TE,28,16,16,0,0,0,0,0,0,0,0,0,0,0,126,77,849,11.03,3,3,1,3,1,0,105,179.9,183.9,141.4,9,6,61
61,Anquan Boldin,BAL,WR,30,16,16,0,0,1,1,-6,0,0,2,2,1.00,0,109,64,837,13.08,7,1,1,7,0,0,126,187.7,191.7,155.7,8,25,62
62,Joe Flacco,BAL,QB,25,16,16,0,0,306,489,3622,25,10,43,84,1.95,1,0,0,0,0,0,9,4,1,0,0,239,231.3,248.3,241.3,8,11,63
63,Lance Moore,NOR,WR,27,16,1,0,0,0,0,0,0,0,0,0,0,0,94,66,763,11.56,8,2,2,8,0,0,124,186.3,191.3,153.3,7,26,64
64,Kellen Winslow,TAM,TE,27,16,11,0,0,0,0,0,0,0,0,0,0,0,98,66,730,11.06,5,1,0,5,0,0,103,169.0,172.0,136.0,7,7,65
65,Tony Gonzalez,ATL,TE,34,16,16,1,0,0,0,0,0,0,0,0,0,0,108,70,656,9.37,6,0,0,6,0,0,102,171.6,174.6,136.6,5,8,66
66,Derrick Mason,BAL,WR,36,16,15,0,0,0,0,0,0,0,0,0,0,0,100,61,802,13.15,7,0,0,7,0,0,122,183.2,186.2,152.7,5,27,67
67,Brandon Jacobs,NYG,RB,28,16,5,0,0,0,0,0,0,0,147,823,5.60,9,13,7,59,8.43,0,2,2,9,0,0,142,145.2,150.2,141.7,4,22,68
68,Dustin Keller,NYJ,TE,26,16,13,0,0,0,0,0,0,0,0,0,0,0,100,55,687,12.49,5,0,0,5,0,0,99,153.7,156.7,126.2,3,9,69
69,Zach Miller,OAK,TE,25,15,15,1,0,0,0,0,0,0,0,0,0,0,92,60,685,11.42,5,1,0,5,0,0,99,158.5,161.5,128.5,2,10,70
70,Brandon Marshall,MIA,WR,26,14,14,0,0,0,1,0,0,0,2,3,1.50,0,146,86,1014,11.79,3,2,1,3,0,0,120,203.7,207.7,160.7,2,28,71
