,Name,Team,Pos,Age,Games Played,Games Started,Pro Bowl,All Pro,Completions,Passing Attempts,Passing Yards,Passing TD,Interceptions,Rushing Attempts,Rushing Yards,Rushing Y/A,Rushing TD,Targets,Receptions,Receiving Yards,Y/R,Receiving TD,Fumbles,Fumbles Lost,Total TD,2PM,2PP,Fantasy Points,PPR,DraftKings Points,FanDuel Points,VBD,Position Rank,Overall Rank
0,DeMarco Murray,DAL,RB,26,16,16,1,1,0,0,0,0,0,392,1845,4.71,13,64,57,416,7.30,0,6,5,13,0,0,294,351.1,362.1,322.6,175,1,1
1,Le'Veon Bell,PIT,RB,22,16,16,1,1,0,0,0,0,0,290,1361,4.69,8,105,83,854,10.29,3,0,0,11,0,0,288,370.5,376.5,329.0,168,2,2
2,Marshawn Lynch ,SEA,RB,28,16,14,1,0,0,0,0,0,0,280,1306,4.66,13,48,37,367,9.92,4,4,2,17,0,0,265,302.3,310.3,283.8,146,3,3
3,Antonio Brown ,PIT,WR,26,16,16,1,1,2,2,20,1,0,4,13,3.25,0,181,129,1698,13.16,13,2,2,14,1,0,252,386.9,391.9,322.4,129,1,4
4,Matt Forte ,CHI,RB,29,16,16,0,0,0,0,0,0,0,266,1038,3.90,6,130,102,808,7.92,4,2,2,10,2,0,245,346.6,354.6,295.6,125,4,5
5,Arian Foster ,HOU,RB,28,13,13,1,0,1,1,5,1,0,260,1246,4.79,8,59,38,327,8.61,5,2,2,13,0,0,236,273.5,281.5,254.5,116,5,6
6,Eddie Lacy,GNB,RB,24,16,16,0,0,0,0,0,0,0,246,1139,4.63,9,55,42,427,10.17,4,3,2,13,0,0,231,272.6,280.6,251.6,111,6,7
7,Jordy Nelson,GNB,WR,29,16,16,1,0,0,0,0,0,0,0,0,0,0,151,98,1519,15.50,13,0,0,13,0,0,230,327.9,330.9,278.9,107,3,8
8,Demaryius Thomas,DEN,WR,27,16,16,1,0,0,0,0,0,0,0,0,0,0,184,111,1619,14.59,11,0,0,11,1,0,230,340.9,343.9,285.4,107,2,9
9,Dez Bryant,DAL,WR,26,16,16,1,1,0,0,0,0,0,0,0,0,0,136,88,1320,15.00,16,1,0,16,0,0,228,316.0,319.0,272.0,105,4,10
10,Rob Gronkowski,NWE,TE,25,15,10,1,1,0,0,0,0,0,0,0,0,0,131,82,1124,13.71,12,0,0,12,0,0,184,266.4,269.4,225.4,94,1,11
